id	set	colony	trophobiont	host	time	status
3	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
4	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
5	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
6	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
7	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
8	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
9	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
10	rep1	LF_C	aphid_egg	Lasius_flavus	120	0
1	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
2	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
3	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
4	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
5	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
6	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
7	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
8	rep2	LF_C	aphid_egg	Lasius_flavus	10	1
9	rep2	LF_C	aphid_egg	Lasius_flavus	15	1
10	rep2	LF_C	aphid_egg	Lasius_flavus	15	1
1	rep3	LF_C	aphid_egg	Lasius_flavus	5	1
2	rep3	LF_C	aphid_egg	Lasius_flavus	10	1
3	rep3	LF_C	aphid_egg	Lasius_flavus	10	1
4	rep3	LF_C	aphid_egg	Lasius_flavus	15	1
